,o2
0,9.52
1,11.76
2,9.89
3,12.11
4,9.09
5,13.05
6,8.84
7,14.1
8,13.0
9,16.4
10,9.2
11,13.57
12,10.01
13,13.02
14,10.3
15,11.15
16,7.95
17,6.81
18,4.46
19,3.88
20,5.05
21,4.57
22,4.73
23,1.5
24,0.36
25,2.82
26,1.1
27,6.47
28,5.56
29,6.51
30,5.96
31,7.41
32,5.39
33,8.6
34,7.67
35,9.6
36,8.04
37,10.16
38,7.98
39,8.67
40,8.24
41,9.2
42,8.62
43,9.28
44,9.45
45,10.0
46,8.82
47,9.7
48,8.75
49,9.25
50,9.19
51,10.72
52,9.08
53,11.23
54,9.29
55,10.92
56,9.48
57,10.54
58,9.27
59,11.45
60,9.68
61,10.81
62,9.44
63,11.3
64,10.52
65,11.07
66,10.8
67,11.62
68,10.09
69,10.84
70,9.15
71,11.12
72,9.1546851253829
73,11.198617668264916
74,9.31
75,11.26
76,9.01
77,11.23
78,8.83
79,9.27
80,8.32
81,10.21
82,9.1
83,10.62
84,9.86
85,10.5
86,8.5
87,10.35
88,8.17
89,10.5
90,7.7
91,10.45
92,8.21
93,9.21
94,7.77
95,11.05
96,7.556329391505458
97,8.8
98,7.27
99,7.24
100,6.52
101,8.43
102,6.02
103,6.5
104,6.1
105,8.47
106,6.05
107,8.5
108,6.25
109,9.05
110,6.75
111,8.51
112,6.1
113,9.1
114,7.0
115,9.65
116,7.0
117,8.35
118,6.32
119,8.6
120,6.6
121,8.75
122,6.54
123,8.85
124,5.55
125,8.23
